Player,Age,Team,Position,Games_played,Free_Throws,Total_Rebounds,Assists,Steals,Blocks,Fouls,Points
Dalano Banton,24.0,POR,PG,30.0,2.6,4.8,3.6,0.9,0.6,1.5,16.7
Grant Williams,25.0,2TM,PF,76.0,1.4,4.2,2.3,0.6,0.5,3.0,10.3
Grant Williams,25.0,DAL,PF,47.0,0.9,3.6,1.7,0.5,0.6,2.9,8.1
Grant Williams,25.0,CHO,PF,29.0,2.2,5.1,3.2,0.7,0.4,3.1,13.9
Obi Toppin,25.0,IND,PF,82.0,0.9,3.9,1.6,0.6,0.5,1.7,10.3
Kevin Huerter,25.0,SAC,SG,64.0,0.6,3.5,2.6,0.7,0.4,2.1,10.2
Reggie Jackson,33.0,DEN,PG,82.0,1.0,1.9,3.8,0.5,0.2,1.8,10.2
T.J. McConnell,31.0,IND,PG,71.0,0.7,2.7,5.5,1.0,0.1,1.1,10.2
Onyeka Okongwu,23.0,ATL,C,55.0,1.7,6.8,1.3,0.5,1.1,2.9,10.2
Kentavious Caldwell-Pope,30.0,DEN,SG,76.0,1.3,2.4,2.4,1.3,0.6,2.0,10.1
Alex Caruso,29.0,CHI,SG,71.0,1.0,3.8,3.5,1.7,1.0,2.5,10.1
Talen Horton-Tucker,23.0,UTA,PG,51.0,1.7,2.4,3.5,0.9,0.4,1.8,10.1
Tre Jones,24.0,SAS,PG,77.0,1.3,3.8,6.2,1.0,0.1,1.2,10.0
Caleb Martin,28.0,MIA,SF,64.0,1.2,4.4,2.2,0.7,0.5,2.0,10.0
Patrick Williams,22.0,CHI,PF,43.0,1.2,3.9,1.5,0.9,0.8,2.0,10.0
Vince Williams Jr.,23.0,MEM,SG,52.0,2.0,5.6,3.4,0.9,0.7,2.6,10.0
Josh Richardson,30.0,MIA,SG,43.0,1.2,2.8,2.4,0.6,0.3,1.8,9.9
Jalen Smith,23.0,IND,C,61.0,1.2,5.5,1.0,0.3,0.6,2.0,9.9
Gordon Hayward,33.0,2TM,SF,51.0,1.7,3.5,3.1,0.8,0.3,1.3,9.8
Gordon Hayward,33.0,CHO,SF,25.0,2.5,4.7,4.6,1.1,0.5,1.8,14.5
Gordon Hayward,33.0,OKC,SF,26.0,1.0,2.5,1.6,0.5,0.0,0.8,5.3
Kelly Olynyk,32.0,2TM,C,78.0,1.9,5.3,4.4,0.9,0.4,2.9,9.8
Kelly Olynyk,32.0,UTA,C,50.0,1.6,5.1,4.4,0.7,0.2,2.6,8.1
Kelly Olynyk,32.0,TOR,C,28.0,2.5,5.6,4.6,1.3,0.6,3.5,12.7
Tari Eason,22.0,HOU,PF,22.0,1.0,7.0,1.2,1.4,0.9,2.3,9.8
Nick Richards,26.0,CHO,C,67.0,2.0,8.0,0.8,0.4,1.1,2.6,9.7
Lonnie Walker IV,25.0,BRK,SG,58.0,0.8,2.2,1.3,0.6,0.3,1.2,9.7
Payton Pritchard,26.0,BOS,PG,82.0,0.6,3.2,3.4,0.5,0.1,1.3,9.6
Amen Thompson,21.0,HOU,SF,62.0,1.7,6.6,2.6,1.3,0.6,2.3,9.5
Josh Hart,28.0,NYK,SF,81.0,1.1,8.3,4.1,0.9,0.3,2.1,9.4
Georges Niang,30.0,CLE,PF,82.0,0.6,3.4,1.2,0.4,0.2,2.3,9.4
Isaac Okoro,23.0,CLE,SF,69.0,1.3,3.0,1.9,0.8,0.5,2.0,9.4
Tre Mann,22.0,2TM,PG,41.0,1.1,3.6,4.0,1.2,0.1,1.2,9.3
Tre Mann,22.0,OKC,PG,13.0,0.1,1.8,1.5,0.2,0.0,0.2,3.8
Tre Mann,22.0,CHO,PG,28.0,1.6,4.5,5.2,1.7,0.1,1.6,11.9
Malaki Branham,20.0,SAS,PG,75.0,0.7,2.0,2.1,0.4,0.1,1.3,9.2
Andrew Nembhard,24.0,IND,PG,68.0,0.7,2.1,4.1,0.9,0.1,2.1,9.2
Chris Paul,38.0,GSW,PG,58.0,0.7,3.9,6.8,1.2,0.1,1.9,9.2
Brandin Podziemski,20.0,GSW,SG,74.0,0.7,5.8,3.7,0.8,0.2,1.6,9.2
Duop Reath,27.0,POR,C,68.0,1.0,3.7,1.0,0.5,0.6,2.4,9.1
Sam Hauser,26.0,BOS,SF,79.0,0.2,3.5,1.0,0.5,0.3,1.3,9.0
Taurean Prince,29.0,LAL,PF,78.0,0.6,2.9,1.5,0.7,0.4,1.9,8.9
Jabari Walker,21.0,POR,SF,72.0,1.8,7.1,1.0,0.6,0.3,2.4,8.9
Dereck Lively II,19.0,DAL,C,55.0,0.7,6.9,1.1,0.7,1.4,2.6,8.8
Kevin Love,35.0,MIA,PF,55.0,1.5,6.1,2.1,0.3,0.2,1.8,8.8
Terance Mann,27.0,LAC,SG,75.0,1.1,3.4,1.6,0.6,0.2,1.9,8.8
Ausar Thompson,21.0,DET,SF,63.0,1.1,6.4,1.9,1.1,0.9,2.8,8.8
Draymond Green,33.0,GSW,PF,55.0,1.0,7.2,6.0,1.0,0.9,3.0,8.6
Al Horford,37.0,BOS,C,65.0,0.4,6.4,2.6,0.6,1.0,1.4,8.6
Derrick Jones Jr.,26.0,DAL,SF,76.0,1.3,3.3,1.0,0.7,0.7,1.6,8.6
Gradey Dick,20.0,TOR,SG,60.0,0.7,2.2,1.1,0.6,0.0,1.5,8.5
Dorian Finney-Smith,30.0,BRK,PF,68.0,0.5,4.7,1.6,0.8,0.6,2.2,8.5
Tristan Vukcevic,20.0,WAS,C,10.0,1.7,3.6,1.3,0.5,0.7,2.8,8.5
Bilal Coulibaly,19.0,WAS,SF,63.0,1.5,4.1,1.7,0.9,0.8,2.2,8.4
Andre Drummond,30.0,CHI,C,79.0,1.6,9.0,0.5,0.9,0.6,1.8,8.4
Miles McBride,23.0,NYK,PG,68.0,0.6,1.5,1.7,0.7,0.1,1.6,8.3
Marcus Sasser,23.0,DET,PG,71.0,0.8,1.8,3.3,0.6,0.2,1.5,8.3
Josh Green,23.0,DAL,SG,57.0,0.7,3.2,2.3,0.8,0.2,1.9,8.2
Isaiah Joe,24.0,OKC,SG,78.0,0.6,2.3,1.3,0.6,0.3,1.1,8.2
Ziaire Williams,22.0,MEM,SF,51.0,1.2,3.5,1.5,0.7,0.2,1.7,8.2
Kyle Lowry,37.0,2TM,PG,60.0,1.1,3.2,4.2,1.0,0.4,2.4,8.1
Kyle Lowry,37.0,MIA,PG,37.0,0.9,3.5,4.0,1.1,0.4,2.5,8.2
